image_path,emotion_class,AU01,AU02,AU04,AU05,AU06,AU07,AU09,AU10,AU11,AU12,AU14,AU15,AU17,AU20,AU23,AU24,AU25,AU26,AU28,AU43
/content/drive/MyDrive/Colab Notebooks/Shared 15 with main/SEM 7/PJT 1 /anger/S092_003_00000014.png,anger,0.223692298,0.080424309,0.857814193,0.310530573,0.241401017,1,0.271882385,0.097570874,1,0.213637412,0.224233896,0.42171821,0.662820995,0,0.582834601,0.258696228,0.049950819,0.264634103,0.178986907,0.040839542
/content/drive/MyDrive/Colab Notebooks/Shared 15 with main/SEM 7/PJT 1 /anger/S100_005_00000023.png,anger,0.366242528,0.080967538,0.840696871,0.277258754,0.171205714,0,0.205657616,0.006920741,1,0.087709233,0.3746306,0.318879843,0.566729426,0,0.220335454,0.366889805,0.003944875,0.067794994,0.081528589,0.049229622
/content/drive/MyDrive/Colab Notebooks/Shared 15 with main/SEM 7/PJT 1 /anger/S109_003_00000017.png,anger,0.165154502,0.078827858,0.422040224,0.24968937,0.634948015,1,0.563220143,0.228267908,0,0.784786522,0.808316171,0.499531657,0.658027172,0,0.273264617,0.6415295,0.06908077,0.067720249,0.087093182,0.340298921
/content/drive/MyDrive/Colab Notebooks/Shared 15 with main/SEM 7/PJT 1 /anger/S111_006_00000010.png,anger,0.369986504,0.154835954,0.583185732,0.364274621,0.601919055,1,0.14279215,0.10899727,0,0.602024913,0.714008927,0.125303239,0.409024209,0,0.264091551,0.281190515,0.632233918,0.147073984,0.053052887,0.023045672
/content/drive/MyDrive/Colab Notebooks/Shared 15 with main/SEM 7/PJT 1 /anger/S112_005_00000017.png,anger,0.466232926,0.105752647,0.847009003,0.217266589,0.295215636,1,0.655907273,0.229477927,1,0.21273838,0.506350756,0.450039864,0.589406073,0,0.505741298,0.446154982,0.871824563,0.379002362,0.815589249,0.751269817
/content/drive/MyDrive/Colab Notebooks/Shared 15 with main/SEM 7/PJT 1 /anger/S113_008_00000023.png,anger,0.37964803,0.07325957,0.811980188,0.333820164,0.099998496,0,0.111626998,0.022831215,1,0.036444303,0.146967039,0.364953876,0.613073349,0,0.235698029,0.383768052,0.006416841,0.035664946,0.092877671,0.031542134
/content/drive/MyDrive/Colab Notebooks/Shared 15 with main/SEM 7/PJT 1 /anger/S117_006_00000010.png,anger,0.327023089,0.166537136,0.29240346,0.493890971,0.179426566,0,0.120536491,0.070239395,1,0.085957699,0.438967526,0.629693389,0.806457043,0,0.57473278,0.763399601,0.006789887,0.0580547,0.384141326,0.018292455
/content/drive/MyDrive/Colab Notebooks/Shared 15 with main/SEM 7/PJT 1 /anger/S119_008_00000018.png,anger,0.195334658,0.106682621,0.821846545,0.218659535,0.396893591,1,0.744498491,0.249549642,1,0.152983129,0.424960583,0.582341731,0.79453063,0,0.498559117,0.695096135,0.000953781,0.189886197,0.288988799,0.427821338
/content/drive/MyDrive/Colab Notebooks/Shared 15 with main/SEM 7/PJT 1 /anger/S126_008_00000029.png,anger,0.575740159,0.089196235,0.80237335,0.230479568,0.127913401,0,0.27185297,0.068320341,1,0.03040112,0.142154515,0.195082903,0.580875337,0,0.343104541,0.450650096,0.384994477,0.142617166,0.076934554,0.269144863
/content/drive/MyDrive/Colab Notebooks/Shared 15 with main/SEM 7/PJT 1 /anger/S127_010_00000018.png,anger,0.357084692,0.076369092,0.947165787,0.278669804,0.118121833,1,0.150248125,0.00200186,0,0.013587293,0.094378315,0.281994671,0.494748473,0,0.132356822,0.202356353,0.180731446,0.052266169,0.216727883,0.202027664
/content/drive/MyDrive/Colab Notebooks/Shared 15 with main/SEM 7/PJT 1 /anger/S129_006_00000010.png,anger,0.446976006,0.245207518,0.267183214,0.313656062,0.166675508,0,0.078725047,0.001093195,1,0.040537335,0.341921955,0.414767265,0.618590057,0,0.535652936,0.630324662,0.070685774,0.072887689,0.331289142,0.03167716
/content/drive/MyDrive/Colab Notebooks/Shared 15 with main/SEM 7/PJT 1 /anger/S130_007_00000020.png,anger,0.533044636,0.10151992,0.228499979,0.343392521,0.110188797,0,0.09022592,0.005968117,0,0.027693858,0.362336576,0.291692406,0.618089616,0,0.273676366,0.45377636,0.003205555,0.070881493,0.446395159,0.015284198
/content/drive/MyDrive/Colab Notebooks/Shared 15 with main/SEM 7/PJT 1 /anger/S133_003_00000047.png,anger,0.282462627,0.11334382,0.774347007,0.321941078,0.093290538,0,0.213271335,0.005362413,1,0.011760107,0.143550172,0.092684455,0.524553478,0,0.177583858,0.407954127,0.00250015,0.086798452,0.40864858,0.045449782
/content/drive/MyDrive/Colab Notebooks/Shared 15 with main/SEM 7/PJT 1 /anger/S134_003_00000011.png,anger,0.322973251,0.192386985,0.461354822,0.322692931,0.592529476,1,0.199956864,0.049326878,1,0.571546793,0.66222769,0.718463957,0.665169775,0,0.550657392,0.607218862,0.002603089,0.061814882,0.299433082,0.037108276
/content/drive/MyDrive/Colab Notebooks/Shared 15 with main/SEM 7/PJT 1 /anger/S136_005_00000010.png,anger,0.465774387,0.239741921,0.137539566,0.435371339,0.105093226,0,0.214918554,0.001644817,1,0.061267149,0.1582551,0.454034984,0.543541193,0,0.251275212,0.375704437,0.006318211,0.113665812,0.325047195,0.021047499
/content/drive/MyDrive/Colab Notebooks/Shared 15 with main/SEM 7/PJT 1 /anger/S501_001_00000067.png,anger,0.42852062,0.155942947,0.862473965,0.437404394,0.153922915,0,0.144318581,0.041644748,1,0.096682765,0.133129328,0.659426808,0.55439949,0,0.370535165,0.495175272,0.067005336,0.080809765,0.370140046,0.027972694
/content/drive/MyDrive/Colab Notebooks/Shared 15 with main/SEM 7/PJT 1 /anger/S502_001_00000016.png,anger,0.513765693,0.1693452,0.841246724,0.556697905,0.06323877,0,0.085105509,0.002879928,1,0.021459989,0.253669113,0.181939408,0.541374385,0,0.239294678,0.595164418,0.009027499,0.036423989,0.025797091,0.017395116
/content/drive/MyDrive/Colab Notebooks/Shared 15 with main/SEM 7/PJT 1 /anger/S503_001_00000071.png,anger,0.404794484,0.12499474,0.945150673,0.337565601,0.119182125,1,0.327665538,0.031734642,1,0.042917695,0.206555799,0.581032753,0.50524956,0,0.238833636,0.675102234,0.020259904,0.099805646,0.118427172,0.164435238
/content/drive/MyDrive/Colab Notebooks/Shared 15 with main/SEM 7/PJT 1 /anger/S504_001_00000022.png,anger,0.40464288,0.232450947,0.774133921,0.274852991,0.504773676,0,0.538445592,0.859383762,1,0.52161181,0.156868264,0.666651785,0.575345635,0,0.415603161,0.63820076,0.027671918,0.145901442,0.676670969,0.248764873
/content/drive/MyDrive/Colab Notebooks/Shared 15 with main/SEM 7/PJT 1 /anger/S506_001_00000040.png,anger,0.450133622,0.357114226,0.576040506,0.333672017,0.218822762,1,0.184521735,0.028302917,1,0.124603137,0.23330079,0.132030651,0.566820264,0,0.24531427,0.484038055,0.000382316,0.045670383,0.155110657,0.023447234
/content/drive/MyDrive/Colab Notebooks/Shared 15 with main/SEM 7/PJT 1 /anger/S999_001_00000018.png,anger,0.496842295,0.153204873,0.852265656,0.56317991,0.122395821,0,0.106273048,0.000941459,1,0.108281873,0.260310024,0.333394915,0.728583038,0,0.463676333,0.515287995,0.001641462,0.055307511,0.31217736,0.016813537
/content/drive/MyDrive/Colab Notebooks/Shared 15 with main/SEM 7/PJT 1 /contempt/S138_008_00000009.png,contempt,0.321934998,0.175518438,0.136986017,0.380940884,0.518930495,0,0.150573611,0.162133053,1,0.621127546,0.639631271,0.762094975,0.704455435,0,0.259334236,0.675690472,0.032197978,0.088328488,0.076415859,0.024727434
/content/drive/MyDrive/Colab Notebooks/Shared 15 with main/SEM 7/PJT 1 /contempt/S139_002_00000013.png,contempt,0.682989299,0.225990251,0.203830913,0.238200173,0.478434592,0,0.181577846,0.244437441,0,0.508451402,0.437862575,0.412290514,0.644770086,1,0.399294168,0.791071296,0.304979533,0.230895728,0.355472982,0.031750347
/content/drive/MyDrive/Colab Notebooks/Shared 15 with main/SEM 7/PJT 1 /contempt/S147_002_00000013.png,contempt,0.283757001,0.127190307,0.089177094,0.606461942,0.247841671,0,0.113715023,0.031977355,1,0.519113421,0.658350468,0.21596165,0.436578244,1,0.512710989,0.748841524,0.097093366,0.144125924,0.432085752,0.029368017
/content/drive/MyDrive/Colab Notebooks/Shared 15 with main/SEM 7/PJT 1 /contempt/S148_002_00000015.png,contempt,0.491899729,0.291857392,0.199921846,0.571847618,0.235390618,0,0.105336785,0.000158927,0,0.138247818,0.208970353,0.480994731,0.46237424,0,0.339015722,0.481251329,0.028539235,0.137755558,0.070605129,0.017493667
/content/drive/MyDrive/Colab Notebooks/Shared 15 with main/SEM 7/PJT 1 /contempt/S149_002_00000013.png,contempt,0.38656345,0.31989187,0.138498291,0.286200047,0.624584317,0,0.367193073,0.002070269,1,0.713601649,0.625551403,0.460500002,0.512206972,0,0.542968094,0.263557047,0.881301105,0.526296616,0.411195636,0.13239795
/content/drive/MyDrive/Colab Notebooks/Shared 15 with main/SEM 7/PJT 1 /contempt/S151_002_00000029.png,contempt,0.466903776,0.251411438,0.21959044,0.310541987,0.69620657,1,0.146023944,0.019350044,1,0.723305643,0.598578632,0.311264068,0.561783791,1,0.41977033,0.650462866,0.334325641,0.279559284,0.316185355,0.016651643
/content/drive/MyDrive/Colab Notebooks/Shared 15 with main/SEM 7/PJT 1 /contempt/S154_002_00000013.png,contempt,0.58223474,0.299166501,0.212100357,0.518806994,0.334541172,0,0.108784832,0.002272418,1,0.495712996,0.476004153,0.343549788,0.463477194,0,0.342711776,0.416417331,0.14622657,0.082174875,0.071732968,0.030516002
/content/drive/MyDrive/Colab Notebooks/Shared 15 with main/SEM 7/PJT 1 /contempt/S155_002_00000012.png,contempt,0.338626325,0.122897476,0.272239953,0.497626901,0.269999653,0,0.128980234,0.01407106,1,0.156337947,0.514247775,0.321351349,0.617460728,0,0.508912742,0.764737666,0.109940417,0.083271973,0.150482565,0.036062472
/content/drive/MyDrive/Colab Notebooks/Shared 15 with main/SEM 7/PJT 1 /contempt/S156_002_00000021.png,contempt,0.531129181,0.283506483,0.071876056,0.26495865,0.471616626,0,0.242282018,0.006899207,0,0.600211442,0.454924911,0.450371742,0.520642579,0,0.345351458,0.570346534,0.004080734,0.076681167,0.035132036,0.056091543
/content/drive/MyDrive/Colab Notebooks/Shared 15 with main/SEM 7/PJT 1 /contempt/S157_002_00000011.png,contempt,0.283717453,0.196782574,0.425793111,0.585983336,0.528119087,0,0.152867332,0.00240301,1,0.707205474,0.489424109,0.309197456,0.691648841,0,0.46788761,0.691724181,0.009588174,0.210916132,0.352252275,0.020800838
/content/drive/MyDrive/Colab Notebooks/Shared 15 with main/SEM 7/PJT 1 /contempt/S158_002_00000011.png,contempt,0.42553103,0.188932166,0.109425299,0.530413747,0.0910898,0,0.082741849,0.000484543,1,0.076467469,0.346411884,0.157415107,0.581387222,0,0.540364861,0.783082247,0.033735216,0.259299368,0.577431738,0.036471505
/content/drive/MyDrive/Colab Notebooks/Shared 15 with main/SEM 7/PJT 1 /contempt/S160_006_00000010.png,contempt,0.764302731,0.355708629,0.241337702,0.393236041,0.099201977,0,0.085032314,0.000146529,0,0.020616351,0.156406552,0.439602166,0.576398432,0,0.527247965,0.323034436,0.03206547,0.074533865,0.20222865,0.043748755
/content/drive/MyDrive/Colab Notebooks/Shared 15 with main/SEM 7/PJT 1 /contempt/S502_002_00000009.png,contempt,0.553435028,0.415358633,0.162380651,0.328958482,0.120359853,0,0.125289559,0.007236764,1,0.198052332,0.621920526,0.523074031,0.608296573,0,0.386102438,0.61380738,0.014226083,0.064056456,0.04491055,0.035841335
/content/drive/MyDrive/Colab Notebooks/Shared 15 with main/SEM 7/PJT 1 /contempt/S503_002_00000008.png,contempt,0.284432441,0.193895057,0.359522343,0.336887449,0.616939604,0,0.388063312,0.109783106,1,0.699932992,0.399985552,0.292850435,0.41055584,0,0.278921187,0.467665195,0.093249805,0.12812683,0.260042042,0.132673725
/content/drive/MyDrive/Colab Notebooks/Shared 15 with main/SEM 7/PJT 1 /contempt/S504_002_00000009.png,contempt,0.654698253,0.307662159,0.116020322,0.375919461,0.48272717,0,0.185977787,0.001728708,0,0.572329044,0.291349322,0.301659673,0.696698368,0,0.354285479,0.531806231,0.004797536,0.149561286,0.071102388,0.074021533
/content/drive/MyDrive/Colab Notebooks/Shared 15 with main/SEM 7/PJT 1 /contempt/S505_002_00000021.png,contempt,0.391923845,0.329700172,0.18026486,0.24138774,0.158241972,0,0.154616117,0.008787823,0,0.108767003,0.1977887,0.470422655,0.653642833,0,0.247491688,0.638293207,0.005997916,0.103638031,0.031173395,0.04976815
/content/drive/MyDrive/Colab Notebooks/Shared 15 with main/SEM 7/PJT 1 /contempt/S506_002_00000009.png,contempt,0.58870101,0.460774809,0.123034693,0.322264254,0.268245161,1,0.141922966,0.001462158,1,0.184176862,0.181929365,0.128428757,0.477516681,0,0.197903931,0.390771419,0.001948147,0.048034851,0.114861682,0.031510342
/content/drive/MyDrive/Colab Notebooks/Shared 15 with main/SEM 7/PJT 1 /contempt/S895_002_00000007.png,contempt,0.773088753,0.399354517,0.475842923,0.329117894,0.108444378,1,0.1739555,0.169193193,1,0.052478623,0.266751528,0.893923461,0.577347279,0,0.441890925,0.375379294,0.014981357,0.151299655,0.155524373,0.140994832
/content/drive/MyDrive/Colab Notebooks/Shared 15 with main/SEM 7/PJT 1 /disgust/S005_001_00000011.png,disgust,0.408355355,0.060954038,0.86756289,0.220124185,0.232528478,1,0.532384992,0.006621945,1,0.064946353,0.249509975,0.718246579,0.579687238,0,0.579137206,0.387044609,0.018419933,0.257493287,0.011679704,0.645407379
/content/drive/MyDrive/Colab Notebooks/Shared 15 with main/SEM 7/PJT 1 /disgust/S011_005_00000020.png,disgust,0.401397854,0.219443843,0.780971289,0.266928077,0.401501268,0,0.714951515,0.003383785,1,0.219754204,0.44806689,0.711283863,0.50237304,1,0.50672096,0.352629781,0.996778071,0.215658128,0.242995098,0.558473706
/content/drive/MyDrive/Colab Notebooks/Shared 15 with main/SEM 7/PJT 1 /disgust/S022_006_00000017.png,disgust,0.401684165,0.112338848,0.824003756,0.216407701,0.201075658,1,0.507510126,0.711038947,0,0.057667889,0.370354086,0.599602222,0.674464345,0,0.732397735,0.522970617,0.438995004,0.317198783,0.340484053,0.87527889
/content/drive/MyDrive/Colab Notebooks/Shared 15 with main/SEM 7/PJT 1 /disgust/S032_005_00000016.png,disgust,0.325210482,0.072274253,0.945813298,0.215618283,0.892179191,1,0.816144884,0.795344234,1,0.751551509,0.543310761,0.289449006,0.307619512,1,0.319813192,0.013371179,0.998031318,0.767095983,0.019084768,0.255831122
/content/drive/MyDrive/Colab Notebooks/Shared 15 with main/SEM 7/PJT 1 /disgust/S035_005_00000019.png,disgust,0.143430889,0.140966997,0.497946143,0.240204036,0.658876657,0,0.696281672,0.587874174,1,0.584537327,0.648758352,0.291201502,0.517523944,0,0.399471611,0.552574337,0.448489577,0.368158877,0.033754211,0.734327674
/content/drive/MyDrive/Colab Notebooks/Shared 15 with main/SEM 7/PJT 1 /disgust/S044_006_00000019.png,disgust,0.392019689,0.083229944,0.863971949,0.228783622,0.284415692,1,0.695155025,0.350485384,0,0.068271838,0.20472461,0.161672801,0.531124949,0,0.378817797,0.431706399,0.337135375,0.179499492,0.077065974,0.846075952
/content/drive/MyDrive/Colab Notebooks/Shared 15 with main/SEM 7/PJT 1 /disgust/S045_004_00000015.png,disgust,0.331808776,0.078932159,0.90049541,0.213850528,0.493920535,1,0.75778687,0.019933652,0,0.221710637,0.402076542,0.232048377,0.493275166,0,0.513831377,0.368885994,0.444516927,0.156109884,0.267167926,0.48274523
/content/drive/MyDrive/Colab Notebooks/Shared 15 with main/SEM 7/PJT 1 /disgust/S046_004_00000017.png,disgust,0.21233736,0.185989022,0.294687301,0.246177197,0.240134522,1,0.479435861,0.020090399,0,0.195168242,0.561441481,0.730909288,0.401740551,0,0.388167292,0.640637577,0.038334515,0.139290467,0.189058498,0.1104986
/content/drive/MyDrive/Colab Notebooks/Shared 15 with main/SEM 7/PJT 1 /disgust/S051_003_00000018.png,disgust,0.317839384,0.15324533,0.907278419,0.227537334,0.409567714,1,0.583336294,0.5817011,0,0.299995273,0.461276263,0.786181331,0.474220186,0,0.243106961,0.178834766,0.929646671,0.620473027,0.190727398,0.661949039
/content/drive/MyDrive/Colab Notebooks/Shared 15 with main/SEM 7/PJT 1 /disgust/S052_006_00000013.png,disgust,0.2443479,0.081690758,0.818103731,0.273724973,0.625476003,1,0.756031215,0.696445405,1,0.262200058,0.302258015,0.482322901,0.588353872,0,0.378510147,0.03502157,0.99768889,0.823207319,0.013870833,0.454831779
/content/drive/MyDrive/Colab Notebooks/Shared 15 with main/SEM 7/PJT 1 /disgust/S054_004_00000024.png,disgust,0.224601805,0.101791717,0.917747319,0.216709092,0.30422774,1,0.776787043,0.171182156,0,0.119348653,0.568844438,0.276763678,0.642098486,0,0.346843898,0.414461225,0.016034646,0.136895567,0.154985547,0.489051938
/content/drive/MyDrive/Colab Notebooks/Shared 15 with main/SEM 7/PJT 1 /disgust/S055_003_00000009.png,disgust,0.187373444,0.226405442,0.452167749,0.285028189,0.530106962,1,0.687855303,0.288134694,1,0.499917626,0.389621556,0.607668579,0.580301464,0,0.214652911,0.442925841,0.936751187,0.14347662,0.009930965,0.106853895
/content/drive/MyDrive/Colab Notebooks/Shared 15 with main/SEM 7/PJT 1 /disgust/S056_002_00000010.png,disgust,0.34244585,0.227151319,0.395961702,0.344016135,0.580464303,0,0.524087548,0.752909184,0,0.807707429,0.727852583,0.510715961,0.631820798,0,0.567378402,0.677298963,0.111549571,0.190087914,0.284734607,0.024851261
/content/drive/MyDrive/Colab Notebooks/Shared 15 with main/SEM 7/PJT 1 /disgust/S057_003_00000015.png,disgust,0.280256361,0.274495721,0.64819324,0.330664545,0.191472784,0,0.117861085,0.396904796,1,0.087458998,0.63364619,0.679637194,0.516960382,0,0.619308889,0.525327802,0.764459491,0.226953641,0.056564178,0.025269425
/content/drive/MyDrive/Colab Notebooks/Shared 15 with main/SEM 7/PJT 1 /disgust/S058_006_00000018.png,disgust,0.142232299,0.046753131,0.948722363,0.22501722,0.736355126,1,0.804918408,0.253704369,1,0.291309208,0.626394033,0.876230359,0.692255914,0,0.690750122,0.781560242,0.373363167,0.267785341,0.569806099,0.588195205
/content/drive/MyDrive/Colab Notebooks/Shared 15 with main/SEM 7/PJT 1 /disgust/S060_005_00000021.png,disgust,0.269958586,0.063870683,0.90487504,0.225834355,0.642484605,1,0.76287508,0.147796229,0,0.490505874,0.378998935,0.461628199,0.533877492,1,0.335772693,0.081270933,0.999492526,0.783957005,0.025812058,0.789920568
/content/drive/MyDrive/Colab Notebooks/Shared 15 with main/SEM 7/PJT 1 /disgust/S061_004_00000022.png,disgust,0.297278792,0.169353336,0.542630553,0.227487817,0.258027077,1,0.397076905,0.160526142,0,0.234485805,0.353993326,0.331410706,0.611506581,0,0.336663187,0.576909721,0.007136661,0.171617791,0.105202213,0.101474985
/content/drive/MyDrive/Colab Notebooks/Shared 15 with main/SEM 7/PJT 1 /disgust/S062_005_00000029.png,disgust,0.233049929,0.306485802,0.093226783,0.343432546,0.839008152,1,0.31056127,0.321302772,1,0.925759614,0.82833606,0.565502167,0.631401956,0,0.452046841,0.612048566,0.070381179,0.17249541,0.149393648,0.400614411
